scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0592_01,6,"[7, 8, 31, 52, 54]",choose the sofa chair that is far from the doors,scene0592_01-sofa_chair-6-6-7-8-31-52-54,horizontal,farthest,sofa chair,['doors'],[20],"['choose', 'the', 'sofa', 'chair', 'that', 'is', 'far', 'from', 'the', 'doors']",sr3d,True,True,True
scene0673_02,40,[54],choose the bag that is closer to the tv,scene0673_02-bag-2-40-54,horizontal,closest,bag,['tv'],[5],"['choose', 'the', 'bag', 'that', 'is', 'closer', 'to', 'the', 'tv']",sr3d,True,True,True
scene0536_01,20,[19],select the table that is in the center of the stairs and the pillow,scene0536_01-table-2-20-19,between,between,table,"['stairs', 'pillow']","[8, 9]","['select', 'the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'stairs', 'and', 'the', 'pillow']",sr3d,True,True,True
scene0181_02,16,"[8, 28, 29]",select the kitchen cabinets that are far from the couch,scene0181_02-kitchen_cabinets-4-16-8-28-29,horizontal,farthest,kitchen cabinets,['couch'],[4],"['select', 'the', 'kitchen', 'cabinets', 'that', 'are', 'far', 'from', 'the', 'couch']",sr3d,True,True,True
scene0352_02,34,[18],the shelf that is near the file cabinet,scene0352_02-shelf-2-34-18,horizontal,closest,shelf,['file cabinet'],[13],"['the', 'shelf', 'that', 'is', 'near', 'the', 'file', 'cabinet']",sr3d,True,True,True
scene0656_00,5,[4],"looking at the front of the nightstand, choose the curtain that is on the left side of it",scene0656_00-curtain-2-5-4,allocentric,left,curtain,['nightstand'],[21],"['looking', 'at', 'the', 'front', 'of', 'the', 'nightstand', 'choose', 'the', 'curtain', 'that', 'is', 'on', 'the', 'left', 'side', 'of', 'it']",sr3d,True,True,True
scene0271_00,1,[19],the cabinet that is farthest from the desk,scene0271_00-cabinet-2-1-19,horizontal,farthest,cabinet,['desk'],[24],"['the', 'cabinet', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True
scene0310_00,2,[25],find the door that is farthest from the microwave,scene0310_00-door-2-2-25,horizontal,farthest,door,['microwave'],[29],"['find', 'the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'microwave']",sr3d,True,True,True
scene0528_01,9,"[7, 8]",select the office chair that is far away from the trash can,scene0528_01-office_chair-3-9-7-8,horizontal,farthest,office chair,['trash can'],[5],"['select', 'the', 'office', 'chair', 'that', 'is', 'far', 'away', 'from', 'the', 'trash', 'can']",sr3d,True,True,True
scene0141_02,19,"[31, 66]",choose the file cabinet that is closer to the radiator,scene0141_02-file_cabinet-3-19-31-66,horizontal,closest,file cabinet,['radiator'],[27],"['choose', 'the', 'file', 'cabinet', 'that', 'is', 'closer', 'to', 'the', 'radiator']",sr3d,True,True,True
scene0101_02,25,[24],choose the stool that is close to the closet,scene0101_02-stool-2-25-24,horizontal,closest,stool,['closet'],[71],"['choose', 'the', 'stool', 'that', 'is', 'close', 'to', 'the', 'closet']",sr3d,True,True,True
scene0340_01,12,[32],select the curtain that is farthest from the desk,scene0340_01-curtain-2-12-32,horizontal,farthest,curtain,['desk'],[23],"['select', 'the', 'curtain', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True
scene0114_01,8,[15],the table that is far from the window,scene0114_01-table-2-8-15,horizontal,farthest,table,['window'],[16],"['the', 'table', 'that', 'is', 'far', 'from', 'the', 'window']",sr3d,True,True,True
scene0505_02,23,"[29, 35, 38, 41]",find the monitor that is far away from the mouse,scene0505_02-monitor-5-23-29-35-38-41,horizontal,farthest,monitor,['mouse'],[43],"['find', 'the', 'monitor', 'that', 'is', 'far', 'away', 'from', 'the', 'mouse']",sr3d,True,True,True
scene0010_00,15,"[24, 40]",select the shelf that is near the keyboard,scene0010_00-shelf-3-15-24-40,horizontal,closest,shelf,['keyboard'],[61],"['select', 'the', 'shelf', 'that', 'is', 'near', 'the', 'keyboard']",sr3d,True,True,True
scene0640_02,16,[15],choose the table that is closer to the kitchen counter,scene0640_02-table-2-16-15,horizontal,closest,table,['kitchen counter'],[26],"['choose', 'the', 'table', 'that', 'is', 'closer', 'to', 'the', 'kitchen', 'counter']",sr3d,True,True,True
scene0383_02,16,"[17, 18]",choose the file cabinet that is far away from the telephone,scene0383_02-file_cabinet-3-16-17-18,horizontal,farthest,file cabinet,['telephone'],[22],"['choose', 'the', 'file', 'cabinet', 'that', 'is', 'far', 'away', 'from', 'the', 'telephone']",sr3d,True,True,True
scene0489_00,5,[6],choose the monitor that is in front of the chair,scene0489_00-monitor-2-5-6,allocentric,front,monitor,['chair'],[1],"['choose', 'the', 'monitor', 'that', 'is', 'in', 'front', 'of', 'the', 'chair']",sr3d,True,True,True
scene0241_02,2,[0],choose the cabinet that is farthest from the window,scene0241_02-cabinet-2-2-0,horizontal,farthest,cabinet,['window'],[29],"['choose', 'the', 'cabinet', 'that', 'is', 'farthest', 'from', 'the', 'window']",sr3d,True,True,True
scene0341_00,42,[54],select the bookshelf that is close to the backpack,scene0341_00-bookshelf-2-42-54,horizontal,closest,bookshelf,['backpack'],[37],"['select', 'the', 'bookshelf', 'that', 'is', 'close', 'to', 'the', 'backpack']",sr3d,True,True,True
scene0394_00,63,"[34, 35, 36, 41, 79]",choose the picture that is beside the lamp,scene0394_00-picture-6-63-34-35-36-41-79,horizontal,closest,picture,['lamp'],[61],"['choose', 'the', 'picture', 'that', 'is', 'beside', 'the', 'lamp']",sr3d,True,True,True
scene0000_00,35,[2],find the table that is far away from the kitchen counter,scene0000_00-table-2-35-2,horizontal,farthest,table,['kitchen counter'],[3],"['find', 'the', 'table', 'that', 'is', 'far', 'away', 'from', 'the', 'kitchen', 'counter']",sr3d,True,True,True
scene0078_02,8,[16],the door that is closer to the radiator,scene0078_02-door-2-8-16,horizontal,closest,door,['radiator'],[14],"['the', 'door', 'that', 'is', 'closer', 'to', 'the', 'radiator']",sr3d,True,True,True
scene0233_00,28,[29],find the cabinet that is far away from the laundry hamper,scene0233_00-cabinet-2-28-29,horizontal,farthest,cabinet,['laundry hamper'],[26],"['find', 'the', 'cabinet', 'that', 'is', 'far', 'away', 'from', 'the', 'laundry', 'hamper']",sr3d,True,True,True
scene0576_00,19,[18],find the book that is farthest from the lamp,scene0576_00-book-2-19-18,horizontal,farthest,book,['lamp'],[17],"['find', 'the', 'book', 'that', 'is', 'farthest', 'from', 'the', 'lamp']",sr3d,True,True,True
scene0392_01,43,[33],find the mirror that is near the refrigerator,scene0392_01-mirror-2-43-33,horizontal,closest,mirror,['refrigerator'],[35],"['find', 'the', 'mirror', 'that', 'is', 'near', 'the', 'refrigerator']",sr3d,True,True,True
scene0002_01,3,[4],select the plant that is near the tv,scene0002_01-plant-2-3-4,horizontal,closest,plant,['tv'],[0],"['select', 'the', 'plant', 'that', 'is', 'near', 'the', 'tv']",sr3d,True,True,True
scene0101_01,50,[47],find the backpack that is near the toilet,scene0101_01-backpack-2-50-47,horizontal,closest,backpack,['toilet'],[17],"['find', 'the', 'backpack', 'that', 'is', 'near', 'the', 'toilet']",sr3d,True,True,True
scene0582_01,19,[7],choose the whiteboard that is far from the couch,scene0582_01-whiteboard-2-19-7,horizontal,farthest,whiteboard,['couch'],[3],"['choose', 'the', 'whiteboard', 'that', 'is', 'far', 'from', 'the', 'couch']",sr3d,True,True,True
scene0630_03,39,[45],find the trash can that is farthest from the window,scene0630_03-trash_can-2-39-45,horizontal,farthest,trash can,['window'],[42],"['find', 'the', 'trash', 'can', 'that', 'is', 'farthest', 'from', 'the', 'window']",sr3d,True,True,True
scene0098_00,7,[6],choose the computer tower that is far from the door,scene0098_00-computer_tower-2-7-6,horizontal,farthest,computer tower,['door'],[18],"['choose', 'the', 'computer', 'tower', 'that', 'is', 'far', 'from', 'the', 'door']",sr3d,True,True,True
scene0622_01,3,[2],the table that is near the box,scene0622_01-table-2-3-2,horizontal,closest,table,['box'],[12],"['the', 'table', 'that', 'is', 'near', 'the', 'box']",sr3d,True,True,True
scene0116_02,13,[8],the toilet paper that is closer to the sink,scene0116_02-toilet_paper-2-13-8,horizontal,closest,toilet paper,['sink'],[12],"['the', 'toilet', 'paper', 'that', 'is', 'closer', 'to', 'the', 'sink']",sr3d,True,True,True
scene0464_00,6,[7],choose the trash can that is close to the plant,scene0464_00-trash_can-2-6-7,horizontal,closest,trash can,['plant'],[56],"['choose', 'the', 'trash', 'can', 'that', 'is', 'close', 'to', 'the', 'plant']",sr3d,True,True,True
scene0443_00,23,[31],select the computer tower that is far from the door,scene0443_00-computer_tower-2-23-31,horizontal,farthest,computer tower,['door'],[4],"['select', 'the', 'computer', 'tower', 'that', 'is', 'far', 'from', 'the', 'door']",sr3d,True,True,True
scene0220_00,39,[8],the door that is farthest from the kitchen counter,scene0220_00-door-2-39-8,horizontal,farthest,door,['kitchen counter'],[22],"['the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'kitchen', 'counter']",sr3d,True,True,True
scene0296_01,40,"[6, 14, 39]",the person that is in the middle of the cabinet and the desk,scene0296_01-person-4-40-6-14-39,between,between,person,"['cabinet', 'desk']","[44, 50]","['the', 'person', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'cabinet', 'and', 'the', 'desk']",sr3d,True,True,True
scene0143_02,14,[15],find the nightstand that is in the middle of the curtain and the pillow,scene0143_02-nightstand-2-14-15,between,between,nightstand,"['curtain', 'pillow']","[7, 22]","['find', 'the', 'nightstand', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'curtain', 'and', 'the', 'pillow']",sr3d,True,True,True
scene0281_00,9,[4],the picture that is closer to the radiator,scene0281_00-picture-2-9-4,horizontal,closest,picture,['radiator'],[8],"['the', 'picture', 'that', 'is', 'closer', 'to', 'the', 'radiator']",sr3d,True,True,True
scene0400_00,5,[4],the shelf that is near the bed,scene0400_00-shelf-2-5-4,horizontal,closest,shelf,['bed'],[6],"['the', 'shelf', 'that', 'is', 'near', 'the', 'bed']",sr3d,True,True,True
scene0540_00,27,[5],select the kitchen cabinets that are far from the telephone,scene0540_00-kitchen_cabinets-2-27-5,horizontal,farthest,kitchen cabinets,['telephone'],[18],"['select', 'the', 'kitchen', 'cabinets', 'that', 'are', 'far', 'from', 'the', 'telephone']",sr3d,True,True,True
scene0276_00,14,[30],the door that is near the mirror,scene0276_00-door-2-14-30,horizontal,closest,door,['mirror'],[18],"['the', 'door', 'that', 'is', 'near', 'the', 'mirror']",sr3d,True,True,True
scene0239_00,4,[11],the picture that is far away from the backpack,scene0239_00-picture-2-4-11,horizontal,farthest,picture,['backpack'],[5],"['the', 'picture', 'that', 'is', 'far', 'away', 'from', 'the', 'backpack']",sr3d,True,True,True
scene0101_00,76,[86],choose the towel that is far away from the toilet paper,scene0101_00-towel-2-76-86,horizontal,farthest,towel,['toilet paper'],[88],"['choose', 'the', 'towel', 'that', 'is', 'far', 'away', 'from', 'the', 'toilet', 'paper']",sr3d,True,True,True
scene0419_01,37,[2],find the shelf that is closer to the laptop,scene0419_01-shelf-2-37-2,horizontal,closest,shelf,['laptop'],[51],"['find', 'the', 'shelf', 'that', 'is', 'closer', 'to', 'the', 'laptop']",sr3d,True,True,True
scene0555_00,22,[32],find the monitor that is close to the counter,scene0555_00-monitor-2-22-32,horizontal,closest,monitor,['counter'],[11],"['find', 'the', 'monitor', 'that', 'is', 'close', 'to', 'the', 'counter']",sr3d,True,True,True
scene0464_00,7,[6],find the trash can that is closer to the bookshelf,scene0464_00-trash_can-2-7-6,horizontal,closest,trash can,['bookshelf'],[53],"['find', 'the', 'trash', 'can', 'that', 'is', 'closer', 'to', 'the', 'bookshelf']",sr3d,True,True,True
scene0051_00,23,"[14, 33]",the window that is farthest from the blanket,scene0051_00-window-3-23-14-33,horizontal,farthest,window,['blanket'],[17],"['the', 'window', 'that', 'is', 'farthest', 'from', 'the', 'blanket']",sr3d,True,True,True
scene0270_00,42,[41],select the picture that is close to the bathroom vanity,scene0270_00-picture-2-42-41,horizontal,closest,picture,['bathroom vanity'],[17],"['select', 'the', 'picture', 'that', 'is', 'close', 'to', 'the', 'bathroom', 'vanity']",sr3d,True,True,True
scene0317_01,17,[19],the curtain that is beside the pillow,scene0317_01-curtain-2-17-19,horizontal,closest,curtain,['pillow'],[10],"['the', 'curtain', 'that', 'is', 'beside', 'the', 'pillow']",sr3d,True,True,True
scene0186_00,7,[2],select the window that is far away from the table,scene0186_00-window-2-7-2,horizontal,farthest,window,['table'],[25],"['select', 'the', 'window', 'that', 'is', 'far', 'away', 'from', 'the', 'table']",sr3d,True,True,True
scene0000_02,20,[21],the nightstand that is closer to the shower,scene0000_02-nightstand-2-20-21,horizontal,closest,nightstand,['shower'],[35],"['the', 'nightstand', 'that', 'is', 'closer', 'to', 'the', 'shower']",sr3d,True,True,True
scene0062_02,19,[18],find the rail that is near the sink,scene0062_02-rail-2-19-18,horizontal,closest,rail,['sink'],[16],"['find', 'the', 'rail', 'that', 'is', 'near', 'the', 'sink']",sr3d,True,True,True
scene0515_01,32,[61],choose the shelf that is far from the couch,scene0515_01-shelf-2-32-61,horizontal,farthest,shelf,['couch'],[46],"['choose', 'the', 'shelf', 'that', 'is', 'far', 'from', 'the', 'couch']",sr3d,True,True,True
scene0000_01,69,[70],the nightstand that is far from the sink,scene0000_01-nightstand-2-69-70,horizontal,farthest,nightstand,['sink'],[71],"['the', 'nightstand', 'that', 'is', 'far', 'from', 'the', 'sink']",sr3d,True,True,True
scene0581_00,35,[34],select the plant that is closer to the mirror,scene0581_00-plant-2-35-34,horizontal,closest,plant,['mirror'],[9],"['select', 'the', 'plant', 'that', 'is', 'closer', 'to', 'the', 'mirror']",sr3d,True,True,True
scene0047_00,11,"[12, 18]",the chair that is close to the refrigerator,scene0047_00-chair-3-11-12-18,horizontal,closest,chair,['refrigerator'],[4],"['the', 'chair', 'that', 'is', 'close', 'to', 'the', 'refrigerator']",sr3d,True,True,True
scene0250_01,36,"[5, 12]",the cabinet that is closer to the shelf,scene0250_01-cabinet-3-36-5-12,horizontal,closest,cabinet,['shelf'],[45],"['the', 'cabinet', 'that', 'is', 'closer', 'to', 'the', 'shelf']",sr3d,True,True,True
scene0211_01,5,[4],choose the file cabinet that is far away from the blackboard,scene0211_01-file_cabinet-2-5-4,horizontal,farthest,file cabinet,['blackboard'],[10],"['choose', 'the', 'file', 'cabinet', 'that', 'is', 'far', 'away', 'from', 'the', 'blackboard']",sr3d,True,True,True
scene0092_03,60,[37],find the bookshelf that is far away from the toilet,scene0092_03-bookshelf-2-60-37,horizontal,farthest,bookshelf,['toilet'],[68],"['find', 'the', 'bookshelf', 'that', 'is', 'far', 'away', 'from', 'the', 'toilet']",sr3d,True,True,True
scene0276_01,13,[41],find the door that is close to the bathtub,scene0276_01-door-2-13-41,horizontal,closest,door,['bathtub'],[11],"['find', 'the', 'door', 'that', 'is', 'close', 'to', 'the', 'bathtub']",sr3d,True,True,True
scene0178_00,25,[26],select the picture that is near the cabinets,scene0178_00-picture-2-25-26,horizontal,closest,picture,['cabinets'],[32],"['select', 'the', 'picture', 'that', 'is', 'near', 'the', 'cabinets']",sr3d,True,True,True
scene0166_00,5,"[14, 33]",find the door that is farthest from the desk,scene0166_00-door-3-5-14-33,horizontal,farthest,door,['desk'],[1],"['find', 'the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True
scene0209_00,1,[0],select the bed that is close to the suitcase,scene0209_00-bed-2-1-0,horizontal,closest,bed,['suitcase'],[6],"['select', 'the', 'bed', 'that', 'is', 'close', 'to', 'the', 'suitcase']",sr3d,True,True,True
scene0515_00,39,[0],choose the sink that is far from the closet,scene0515_00-sink-2-39-0,horizontal,farthest,sink,['closet'],[3],"['choose', 'the', 'sink', 'that', 'is', 'far', 'from', 'the', 'closet']",sr3d,True,True,True
scene0381_00,3,[4],the armchair that is far away from the whiteboard,scene0381_00-armchair-2-3-4,horizontal,farthest,armchair,['whiteboard'],[8],"['the', 'armchair', 'that', 'is', 'far', 'away', 'from', 'the', 'whiteboard']",sr3d,True,True,True
scene0017_01,24,[22],find the computer tower that is closer to the window,scene0017_01-computer_tower-2-24-22,horizontal,closest,computer tower,['window'],[0],"['find', 'the', 'computer', 'tower', 'that', 'is', 'closer', 'to', 'the', 'window']",sr3d,True,True,True
scene0250_01,25,[40],choose the towel that is far from the bathtub,scene0250_01-towel-2-25-40,horizontal,farthest,towel,['bathtub'],[33],"['choose', 'the', 'towel', 'that', 'is', 'far', 'from', 'the', 'bathtub']",sr3d,True,True,True
scene0554_00,21,[20],the trash can that is far away from the radiator,scene0554_00-trash_can-2-21-20,horizontal,farthest,trash can,['radiator'],[4],"['the', 'trash', 'can', 'that', 'is', 'far', 'away', 'from', 'the', 'radiator']",sr3d,True,True,True
scene0126_00,1,[19],choose the shelf that is in the middle of the bookshelf and the window,scene0126_00-shelf-2-1-19,between,between,shelf,"['bookshelf', 'window']","[17, 20]","['choose', 'the', 'shelf', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'bookshelf', 'and', 'the', 'window']",sr3d,True,True,True
scene0666_02,2,[1],select the bookshelf that is close to the chair,scene0666_02-bookshelf-2-2-1,horizontal,closest,bookshelf,['chair'],[3],"['select', 'the', 'bookshelf', 'that', 'is', 'close', 'to', 'the', 'chair']",sr3d,True,True,True
scene0340_01,34,[33],select the bed that is closer to the shoes,scene0340_01-bed-2-34-33,horizontal,closest,bed,['shoes'],[18],"['select', 'the', 'bed', 'that', 'is', 'closer', 'to', 'the', 'shoes']",sr3d,True,True,True
scene0261_00,30,[38],choose the towel that is below the light,scene0261_00-towel-2-30-38,vertical,below,towel,['light'],[29],"['choose', 'the', 'towel', 'that', 'is', 'below', 'the', 'light']",sr3d,True,True,True
scene0677_00,25,[16],the backpack that is far from the suitcase,scene0677_00-backpack-2-25-16,horizontal,farthest,backpack,['suitcase'],[6],"['the', 'backpack', 'that', 'is', 'far', 'from', 'the', 'suitcase']",sr3d,True,True,True
scene0178_00,5,"[4, 36]",find the chair that is closer to the cabinets,scene0178_00-chair-3-5-4-36,horizontal,closest,chair,['cabinets'],[32],"['find', 'the', 'chair', 'that', 'is', 'closer', 'to', 'the', 'cabinets']",sr3d,True,True,True
scene0041_00,16,[9],choose the blackboard that is farthest from the door,scene0041_00-blackboard-2-16-9,horizontal,farthest,blackboard,['door'],[10],"['choose', 'the', 'blackboard', 'that', 'is', 'farthest', 'from', 'the', 'door']",sr3d,True,True,True
scene0286_00,34,"[14, 30]",choose the window that is close to the suitcase,scene0286_00-window-3-34-14-30,horizontal,closest,window,['suitcase'],[44],"['choose', 'the', 'window', 'that', 'is', 'close', 'to', 'the', 'suitcase']",sr3d,True,True,True
scene0646_01,22,[8],select the door that is far from the end table,scene0646_01-door-2-22-8,horizontal,farthest,door,['end table'],[1],"['select', 'the', 'door', 'that', 'is', 'far', 'from', 'the', 'end', 'table']",sr3d,True,True,True
scene0630_02,30,[45],find the computer tower that is farthest from the table,scene0630_02-computer_tower-2-30-45,horizontal,farthest,computer tower,['table'],[39],"['find', 'the', 'computer', 'tower', 'that', 'is', 'farthest', 'from', 'the', 'table']",sr3d,True,True,True
scene0000_00,38,"[8, 39, 41, 42]","looking at the front of the microwave, pick the cabinet that is on the right of the microwave",scene0000_00-cabinet-5-38-8-39-41-42,allocentric,right,cabinet,['microwave'],[52],"['looking', 'at', 'the', 'front', 'of', 'the', 'microwave', 'pick', 'the', 'cabinet', 'that', 'is', 'on', 'the', 'right', 'of', 'the', 'microwave']",sr3d,True,True,True
scene0465_01,9,"[23, 30]",choose the window that is farthest from the refrigerator,scene0465_01-window-3-9-23-30,horizontal,farthest,window,['refrigerator'],[19],"['choose', 'the', 'window', 'that', 'is', 'farthest', 'from', 'the', 'refrigerator']",sr3d,True,True,True
scene0489_00,28,[27],select the keyboard that is closer to the window,scene0489_00-keyboard-2-28-27,horizontal,closest,keyboard,['window'],[30],"['select', 'the', 'keyboard', 'that', 'is', 'closer', 'to', 'the', 'window']",sr3d,True,True,True
